Date,Presenter,Topic,URL,Recording,Tags
"December 15, 2025","","","","",""
"December 1, 2025","","","","",""
"November 24, 2025","","","","",""
"November 17, 2025","","","","",""
"November 10, 2025","Peter Shaw","Bridging Kolmogorov Complexity and Deep Learning: Asymptotically Optimal Description Length Objectives for Transformers","https://arxiv.org/abs/2509.22445","","Paper"
"November 3, 2025","Kulin Shah","Train for the Worst, Plan for the Best: Understanding Token Ordering in Masked Diffusions","https://arxiv.org/abs/2502.06768","","Paper"
"October 27, 2025","Awni Altabaa","CoT Information: Improved Sample Complexity under Chain-of-Thought Supervision","https://arxiv.org/abs/2505.15927","","Paper"
"October 20, 2025","Grigoris Velegkas","(Im)possibility of Automated Hallucination Detection in Large Language Models","https://arxiv.org/abs/2504.17004","","Paper"
"October 13, 2025","Aditya Varre","Learning In-context n-grams with Transformers: Sub-n-grams Are Near-stationary Points","https://arxiv.org/abs/2508.12837","","Paper"
"October 6, 2025","Kaiyue Wen","Transformers are uninterpretable with myopic methods: a case study with bounded
Dyck grammars","https://arxiv.org/abs/2312.01429","","Paper"
"October 2, 2025","Andrew Gordon WIlson","Deep Learning is Not So Mysterious or
Different","https://arxiv.org/abs/2503.02113","https://www.youtube.com/watch?v=i97GDhAiD6o","Paper"
"September 29, 2025","Andy J Yang","A C-RASP tutorial","https://arxiv.org/abs/2404.04393","","Tutorial,Papers"
"September 22, 2025","Ekdeep Lubana","In-context Learning of Formal Languages","https://arxiv.org/abs/2501.00070 https://arxiv.org/abs/2506.17859","https://www.youtube.com/watch?v=AkPIUoGDJpE","Papers"
"September 15, 2025","Michael Goodale","Meta-Learning Neural Mechanisms rather than Bayesian
Priors","https://arxiv.org/abs/2503.16048","https://www.youtube.com/watch?v=b8P13Vt9Qxs","Paper"
"September 8, 2025","Eshaan Nichani","Learning Compositional Functions with Transformers from Easy-to-Hard
Data","https://arxiv.org/abs/2505.23683","https://www.youtube.com/watch?v=afXcOLD8u6U&pp=0gcJCfsJAYcqIYzv","Paper"
"September 1, 2025","Ashok Vardhan","Attention with Markov: A Curious Case of Single-layer
Transformers","https://openreview.net/forum?id=xi6lie0SUr","https://www.youtube.com/watch?v=xblJR76Wxic","Paper"
"August 25, 2025","Deqing Fu","Algorithmic Perspectives on Understanding
Transformers","https://arxiv.org/abs/2310.17086 https://arxiv.org/abs/2406.03445 https://arxiv.org/abs/2502.09741
","https://www.youtube.com/watch?v=QhU0svaLVTw","Tutorial,
Papers"
"August 18, 2025","Ying Fan","Looped Transformers for Length
Generalization","https://arxiv.org/abs/2409.15647","","Paper"
"August 11, 2025","Jie Fu","Finite State Automata Inside Transformers with Chain-of-Thought: A Mechanistic Study
on State Tracking","https://arxiv.org/abs/2502.20129","","Paper"
